name,affiliated_committee_name,committee_id
PENSKE TRUCK LEASING CO LP POLITICAL ACTION COMMITTEE,PENSKE TRUCK LEASING CORPORATION,C00373217
"LHC GROUP, INC. PAC","LOUISIANA HEALTH CARE GROUP, INC.",C00382796
ITC HOLDINGS CORP. PAC (ITC PAC),ITC HOLDINGS CORP.,C00388462
AMERISOURCEBERGEN CORPORATION ASSOCIATES PAC (AB ASSOCIATES PAC),AMERISOURCEBERGEN CORPORATION,C00400929
WESTINGHOUSE ELECTRIC COMPANY LLC PAC,WESTINGHOUSE ELECTRIC COMPANY,C00346361
ENCOMPASS HEALTH CORPORATION POLITICAL ACTION COMMITTEE,ENCOMPASS HEALTH CORPORATION,C00414649
FIRST COLONIES ANESTHESIA ASSOCIATES LLC POLITICAL ACTION COMMITTEE,"FIRST COLONIES ANESTHESIA ASSOCIATES, LLC",C00416305
AMERICAN COMMERCIAL BARGE LINE LLC PAC,AMERICAN COMMERCIAL BARGE LINE LLC,C00418269
CSL EMPLOYEES POLITICAL ACTION COMMITTEE,CSL BEHRING,C00422501
"AMERICAN WATER WORKS COMPANY, INC. EMPLOYEE FEDERAL PAC","AMERICAN WATER WORKS COMPANY, INC.",C00354548
FIRE ISLAND PINES PROPERTY OWNERS ASSOCIATION INC POLITICAL ACTION COMMITTEE,,C00357160
ENTERGY CORPORATION POLITICAL ACTION COMMITTEE (ENPAC),ENTERGY CORPORATION,C00363879
EDP RENEWABLES NORTH AMERICA LLC PAC (AKA EDPR NA PAC),EDP RENEWABLES NORTH AMERICA LLC,C00452755
"OPPENHEIMERFUNDS, INC. POLITICAL ACTION COMMITTEE","OPPENHEIMERFUNDS, INC.",C00367920
PERATON CORP. POLITICAL ACTION COMMITTEE (A.K.A. 'PERATON PAC'),PERATON CORP.,C00383992
LANXESS CORP POLITICAL ACTION COMMITTEE,LANXESS CORP POLITICAL ACTION COMMITTEE,C00385609
"VITAMIN SHOPPE, INC. PAC","VITAMIN SHOPPE, INC.",C00485953
NOMURA HOLDING AMERICA INC. POLITICAL ACTION COMMITTEE (NOMURAPAC),NOMURA HOLDING AMERICA INC.,C00491951
POLITICAL ACTION COMMITTEE/THE BANK OF NEW YORK MELLON CORPORATION-FEDERAL(BNY MELLON-FED),THE BANK OF THE NEW YORK MELLON CORPORATION,C00494534
TRIDENT USA HEALTH SERVICES POLITICAL ACTION COMMITTEE,TRIDENT USA HEALTH SERVICES,C00495184
CREE INC PAC (CREE PAC),,C00499665
"GROOM LAW GROUP, CHARTERED POLITICAL ACTION COMMITTEE",GROOM LAW GROUP CHARTERED,C00394775
FRAMATOME INC PAC,FRAMATOME INC.,C00395285
COOK GROUP INC PAC,,C00399089
MOTORCYCLE PAC OF MINNESOTA,NONE,C00402768
NATIONAL CEMENT COMPANY INC POLITICAL ACTION COMMITTEE,"NATIONAL CEMENT COMPANY, INC.",C00519173
HOLOGIC PAC,,C00405100
BANK OF CUSHING FEDERAL POLITICAL ACTION COMMITTEE,BANK OF CUSHING,C00406090
PREMERA BLUE CROSS POLITICAL ACTION COMMITTEE/PREMERA PAC,PREMERA BLUE CROSS,C00409227
HEALTH ALLIANCE PLAN PAC,HEALTH ALLIANCE PLAN,C00410670
"GLANBIA PERFORMANCE NUTRITION [OPTIMUM NUTRITION, INC.] POLITICAL ACTION COMMITTEE (GPN PAC)","OPTIMUM NUTRITION, INC.",C00543090
"ONE GAS, INC. POLITICAL ACTION COMMITTEE",ONE GAS INC.,C00554444
FULTON FINANCIAL CORPORATION PAC (MD),FULTON FINANCIAL CORPORATION,C00414243
BSA | THE SOFTWARE ALLIANCE PAC,BSA | THE SOFTWARE ALLIANCE,C00416685
OUTFRONT MEDIA INC POLITICAL ACTION COMMITTEE (OFPAC),OUTFRONT MEDIA INC.,C00571414
REPLACEMENTS LTD PAC,"REPLACEMENTS, LTD.",C00427849
"PURPOSE FINANCIAL, INC. PAC","PURPOSE FINANCIAL, INC.",C00429001
HANGER INC. PAC,"HANGER, INC.",C00430397
STATE AUTO EMPLOYEES FED PAC COMMITTEE OF STATE AUTOMOBILE MUTUAL INSURANCE COMPANY,STATE AUTOMOBILIE MUTUAL INSURANCE COMPANY,C00430884
CHECKSMART FINANCIAL LLC (CCFI LLC) POLITICAL ACTION COMMITTEE,CCFI LLC (FORMERLY CHECKSMART FINANCIAL LLC),C00433805
PIEDMONT TRIAD ANESTHESIA P A FEDERAL PAC,"PIEDMONT TRIAD ANESTHESIA, P.A.",C00435651
TEXAS SPINE AND JOINT LTD PAC,TEXAS SPING & JOINT HOSPITAL LTD,C00437525
ENERGY TRANSFER EMPLOYEE MANAGEMENT COMPANY PAC (ENERGY TRANSFER PAC),ENERGY TRANSFER EMPLOYEE MANAGEMENT COMPANY,C00438754
ASTELLAS US LLC PAC (ASTELLAS PAC),ASTELLAS US LLC,C00444885
MAGNOLIA LNG LLC POLITICAL ACTION COMMITTEE,MAGNOLIA LNG LLC,C00670141
COALITION OF FRANCHISEE ASSOCIATIONS PAC (CFA PAC),COALITION OF FRANCHISEE ASSOCIATIONS,C00458042
"MODA, INC. PAC","MODA, INC.",C00679373
LENDINGTREE LLC POLITICAL ACTION COMMITTEE,"LENDING TREE, LLC",C00467381
"JELD-WEN, INC. EMPLOYEE POLITICAL ACTION COMMITTEE","JELD-WEN, INC.",C00469825
"NEW ERA POLITICAL ACTION COMMITTEE, CORP, NFP",NONE,C00692483
"VMWARE, INC. POLITICAL ACTION COMMITTEE (VMWARE PAC)",EMC CORPORATION POLITICAL ACTION COMMITTEE,C00477299
"BLACK KNIGHT LENDING SOLUTIONS, INC. POLITICAL ACTION COMMITTEE ('BLACK KNIGHT POLITICAL ACTION COMMITTEE')","BLACK KNIGHT LENDING SOLUTIONS, INC.",C00478149
BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE,BLACKROCK FUNDS SERVICES GROUP LLC,C00479246
NEUROCRINE BIOSCIENCES PAC INC.,"NEUROCRINE BIOSCIENCES, INC.",C00733527
"RIGHTS & DEMOCRACY PROJECT, INC ACTION FUND","RIGHTS AND DEMOCRACY PROJECT, INC.",C00734046
XCEL ENERGY EMPLOYEE POLITICAL ACTION COMMITTEE (XPAC),XCEL ENERGY,C00107771
"PAIN FREE AMERICA, THE POLITICAL ACTION COMMITTEE OF ATHLETICO HOLDINGS, LLC","ATHLETICO HOLDINGS, LLC",C00760660
KING RANCH INC POLITICAL ACTION COMMITTEE-FEDERAL,NONE,C00121277
TOLL BROS. INC. PAC,NONE,C00128561
KANSAS CITY SOUTHERN EMPLOYEE PAC,NONE,C00139451
CH2M HILL COMPANIES LTD PAC,JACOBS GOOD GOVERNMENT FUND OF JACOBS ENGINEERING GROUP INC,C00143305
VIRGINIA SOCIETY FOR HUMAN LIFE INC-POLITICAL ACTION COMMITTEE,,C00155184
"LUMEN TECHNOLOGIES, INC. POLITICAL ACTION COMMITTEE","LUMEN TECHNOLOGIES, INC.",C00419911
"DT MIDSTREAM HOLDINGS, LLC PAC","DT MIDSTREAM HOLDINGS, LLC",C00771667
COOPERATIVE OF AMERICAN PHYSICIANS FEDERAL POLITICAL ACTION COMMITTEE,COOPERATIVE OF AMERICAN PHYSICIANS,C00161604
WALGREEN CO PAC (WALGREENSPAC),WALGREEN CO,C00160770
"EMD SERONO, INC. POLITICAL ACTION COMMITTEE","EMD SERONO, INC.",C00258236
BANCORP SOUTH BANK PAC FKA BANK OF MISSISSIPPI OFFICERS VOLUNTARY POLITICAL COMMITTEE,BANCORPSOUTH BANK,C00183962
DENBURY INC POLITICAL COMMITTEE,DENBURY INC.,C00440651
INTERCONTINENTAL EXCHANGE INC PAC,NYSE EURONEXT POLITICAL ACTION COMMITTEE (NYSE PAC),C00443168
UNITED STATES STEEL CORPORATION POLITICAL ACTION COMMITTEE,UNITED STATES STEEL CORPORATION,C00030676
OTSUKA AMERICA PHARMACEUTICAL INC. POLITICAL ACTION COMMITTEE (OTSUKA US PAC),"OTSUKA AMERICA PHARMACEUTICAL, INC",C00553834
HUNTER ENGINEERING COMPANY PAC,HUNTER ENGINEERING COMPANY PAC,C00214379
SHEETZ INC POLITICAL ACTION COMMITTEE,,C00219121
"ALTICOR, INC. POLITICAL ACTION COMMITTEE ALTIPAC","ALTICOR, INC.",C00034884
THOMSON RHODES AND COWIE PC PAC,THOMSON RHODES & COWIE PC,C00463984
"DOMINION ENERGY, INC. POLITICAL ACTION COMMITTEE - DOMINION PAC","DOMINION ENERGY, INC.",C00108209
"HSBC NORTH AMERICA FEDERAL, STATE AND LOCAL POLITICAL ACTION COMMITTEE (HSBC COMBINED PAC)",HSBC NORTH AMERICA,C00033423
AUTOZONE INC COMMITTEE FOR BETTER GOVERNMENT,"AUTOZONE, INC",C00233056
POLARIS INDUSTRIES POLITICAL PARTICIPATION PROGRAM,POLARIS INDUSTRIES INC,C00279497
NOVARTIS CORPORATION POLITICAL ACTION COMMITTEE,NOVARTIS CORPORATION,C00033969
TRANSAMERICA CORPORATION PAC,TRANSAMERICA,C00236414
"KOCH INDUSTRIES, INC. POLITICAL ACTION COMMITTEE (KOCHPAC)","KOCH INDUSTRIES, INC.",C00236489
DORSEY NATIONAL FUND,NONE,C00018945
SUNRUN INC POLITICAL ACTION COMMITTEE (SUNRUN PAC),SUNRUN INC.,C00489302
INTEL CORPORATION POLITICAL ACTION COMMITTEE (IPAC),INTEL CORPORATION,C00125641
"PROFESSIONAL SERVICE INDUSTRIES, INC. POLITICAL ACTION COMMITTEE (PSI PAC)","PROFESSIONAL SERVICE INDUSTRIES, INC.",C00498527
PEOPLE'S BANK FEDERAL POLITICAL ACTION COMMITTEE,PEOPLE'S BANK FEDERAL POLITICAL ACTION COMMITTEE,C00178012
CAMBIA HEALTH SOLUTIONS INC. PAC,CAMBIA HEALTH SOLUTIONS INC.,C00252684
MILLER & CHEVALIER CHARTERED POLITICAL ACTION COMMITTEE ('MILLER & CHEVALIER PAC'),MILLER & CHEVALIER CHARTERED POLITICAL ACTION COMMITTEE ('MILLER & CHEVALIER PAC'),C00255216
NATIONAL GRID USA POLITICAL ACTION COMMITTEE,NATIONAL GRID USA,C00048702
CONSECO INC CONCERNED CITIZENS POLITICAL ACTION COMMITTEE (PAC),CONSECO INC CONCERNED CITIZENS POLITICAL ACTION COMMITTEE (PAC),C00303503
"HAMMEL GREEN AND ABRAHAMSON, INC., PAC","HAMMEL GREEN AND ABRAHAMSON, INC., PAC",C00305979
SHELL OIL COMPANY EMPLOYEES' POLITICAL AWARENESS COMMITTEE,SHELL OIL COMPANY,C00039503
FREEDOM CLUB FEDERAL PAC,FREEDOM CLUB,C00307777
LIVE OAK BANK POLITICAL ACTION COMMITTEE,,C00552778
MSCPAC,,C00309468
MUTUAL OF OMAHA COMPANIES PAC (IMPAC),MUTUAL OF OMAHA,C00094581
"NEXSTAR MEDIA GROUP, INC. POLITICAL ACTION COMMITTEE (NEXSTAR PAC)","NEXSTAR MEDIA GROUP, INC.",C00567388
CAPITAL ONE FINANCIAL CORP. ASSOC. POLITICAL FUND,CAPITAL ONE FINANCIAL CORP. ASSOC. POLITICAL FUND,C00326595
CLOROX EMPLOYEES' POLITICAL ACTION COMMITTEE,THE CLOROX COMPANY,C00062224
"L3 TECHNOLOGIES, INC. PAC","L3 TECHNOLOGIES, INC.",C00338087
BASF CORPORATION EMPLOYEES POLITICAL ACTION COMMITTEE,BASF CORPORATION,C00340075
BLUE SHIELD OF CALIFORNIA PAC (SHIELD PAC),BLUEPAC - BLUE CROSS BLUE SHIELD ASSOCIATION PAC,C00340364
CONVERGYS CORPORATION POLITICAL ACTION COMMITTEE,CONVERGYS CORPORATION,C00350108
HALLADOR ENERGY COMPANY POLITICAL ACTION COMMITTEE,HALLADOR ENERGY COMPANY,C00725804
ENGILITY CORPORATION - TASC PAC,ENGILITY CORPORATION,C00362582
BMO FINANCIAL CORP GOOD GOVERNANCE FUND: FEDERAL (BMO PAC),BMO FINANCIAL CORP,C00611871
"L BRANDS, INC./LIMITED BRANDS POLITICAL ACTION COMMITTEE (LIMITED BRANDS PAC)","L BRANDS, INC.",C00214338
PFIZER INC. PAC,PFIZER INC.,C00016683
GENERAL ATOMICS POLITICAL ACTION COMMITTEE,GENERAL ATOMICS,C00215285
PRODUCERS RICE MILL INC PAC,PRODUCERS RICE MILL INC,C00378083
MATERION CORPORATION POLITICAL ACTION COMMITTEE,MATERION CORPORATION,C00216770
AMTRUST FINANCIAL SERVICES INC. POLITICAL ACTION COMMITTEE,AMTRUST FINANCIAL SERVICES INC.,C00626176
"PERNOD RICARD USA, LLC POLITICAL ACTION COMMITTEE",PERNOD RICARD USA LLC,C00380527
CDM SMITH INC. NATIONAL PAC,CDM SMITH INC.,C00398222
AVANGRID POLITICAL ACTION COMMITTEE,AVANGRID,C00406801
STAR FINANCIAL BANK PAC,,C00366633
HAWAIIAN TELCOM COMMUNICATIONS INC FEDPAC,HAWAIIAN TELCOM,C00413401
DECLARATION ALLIANCE PAC,NONE,C00414888
BOEHRINGER INGELHEIM USA CORPORATION POLITICAL ACTION COMMITTEE,BOEHRINGER INGELHEIM USA CORPORATION,C00420398
ABIOMED INC POLITICAL ACTION COMMITTEE (ABIOMED PAC),"ABIOMED, INC.",C00426445
WARNER MUSIC INC. POLITICAL ACTION COMMITTEE,WARNER MUSIC INC.,C00666933
AM GENERAL LLC POLITICAL ACTION COMMITTEE (AM GENERAL PAC),AM GENERAL LLC,C00432856
MASSACHUSETTS FINANCIAL SERVICES COMPANY POLITICAL ACTION COMMITTEE (MFS PAC),MASSACHUSETTS FINANCIAL SERVICES CO,C00229534
ELBIT SYSTEMS OF AMERICA LLC POLITICAL ACTION COMMITTEE,ELBIT SYSTEMS OF AMERICA LLC,C00437566
"EXPERIAN NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (EXPERIAN PAC)",EXPERIAN NORTH AMERICA INC.,C00379768
AKEBIA THERAPEUTICS INC POLITICAL ACTION COMMITTEE,AKEBIA THERAPEUTICS INC.,C00684126
GAINWELL HOLDING CORP. POLITICAL ACTION COMMITTEE (GAINWELL PAC),GAINWELL HOLDING CORP.,C00440453
TEREX CORPORATION POLITICAL ACTION COMMITTEE,TEREX CORPORATION,C00386284
PLS FINANCIAL SVCS INC GOOD NEIGHBOR  POLITICAL ACTION COMMITTE (PLS GOOD NEIGHBOR PAC),"PLS FINANCIAL SERVICES, INC.",C00450189
GOVERNMENT AFFAIRS COMMITTEE OF AXIS SPECIALTY US SERVICES INC,GOVERNMENT AFFAIRS COMMITTEE OF AXIS SPECIALTY US SERVICES INC,C00453571
ALMOST FAMILY INC PAC (AFAM PAC),"ALMOST FAMILY, INC.",C00460253
COMERICA INCORPORATED POLTICAL ACTION COMMITTEE,COMERICA INCORPORATED,C00393173
"ATLAS AIR WORLDWIDE HOLDINGS, INC. POLITICAL ACTION COMMITTEE","ATLAS AIR WORLDWIDE HOLDINGS, INC.",C00478099
HEXION INC. POLITICAL ACTION COMMITTEE,HEXION INC.,C00486944
GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE (GEPAC),GENERAL ELECTRIC COMPANY,C00024869
LOUIS DREYFUS COMPANY LLC POLITICAL ACTION COMMITTEE,LOUIS DREYFUS COMPANY LLC,C00492363
ANHEUSER-BUSCH COMPANIES INC. POLITICAL ACTION COMMITTEE,ANHEUSER-BUSCH COMPANIES INC.,C00034488
STRATEGIC PUBLIC PARTNERS LLC PAC (SPP-PAC),STRATEGIC PUBLIC PARTNERS LLC PAC (SPP-PAC),C00499343
KEYCORP ADVOCATES FUND,KEYCORP,C00073155
ALCOA CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,ALCOA CORPORATION,C00501106
"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE","WPX ENERGY, INC.",C00502518
J. G. BOSWELL EMPLOYEES' POLITICAL ACTION COMMITTEE,J. G. BOSWELL COMPANY,C00082677
MMC CORP POLITICAL ACTION COMMITTEE,MMC CORP POLITICAL ACTION COMMITTEE,C00509356
PUGET SOUND ENERGY INC. PAC FOR GOOD GOVERNMENT,PUGET SOUND ENERGY INC.,C00101592
AT&T INC./WARNERMEDIA LLC FEDERAL POLITICAL ACTION COMMITTEE (AT&T/WARNERMEDIA FEDERAL PAC),AT&T INC.,C00109017
VULCAN MATERIALS COMPANY POLITICAL ACTION COMMITTEE,VULCAN MATERIALS COMPANY,C00116020
PRINCIPAL LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,PRINCIPAL LIFE INSURANCE COMPANY,C00128918
NIKE INC FEDERAL POLITICAL ACTION COMMITTEE (NIKE FEDERAL PAC),"NIKE, INC.",C00142786
CUBIC CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,CUBIC CORPORATION,C00151787
TECO ENERGY INC EMPLOYEES' PAC,"TECO ENERGY, INC.",C00161422
ALLIEDBARTON SECURITY SERVICES LLC PAC A/K/A ALLIEDBARTON PAC,ALLIEDBARTON SECURITY SERVICES LLC,C00536425
ABBVIE POLITICAL ACTION COMMITTEE,ABBVIE,C00536573
"VIZIENT, INC., POLITICAL ACTION COMMITTEE","VIZIENT, INC.",C00199497
AON CORPORATION POLITICAL ACTION COMMITTEE,AON CORPORATION,C00211250
GREAT SOUTHERN BANK EMPLOYEES GOOD GOVERNMENT COMMITTEE,GREAT SOUTHERN BANK,C00224147
PROVIDENT SAVINGS BANK POLITICAL ACTION COMMITTEE (PROVPAC),,C00229328
S&B PAC,"S&B ENGINEERS AND CONSTRUCTORS, LTD.",C00236083
"CAESARS ENTERTAINMENT, INC. POLITICAL ACTION COMMITTEE","CAESARS ENTERTAINMENT, INC.",C00239947
ALLERPAC - JOINT COUNCIL OF ALLERGY ASTHMA AND IMMUNOLOGY,,C00249961
"CAPITAL BLUEPAC, THE POLITICAL ACTION COMMITTEE OF CAPITAL BLUECROSS","BLUEPAC, THE BLUECROSS AND BLUESHIELD ASSOCIATION POLITICAL ACTION COMMITTEE",C00270967
TELOS CORPORATION PAC,,C00289041
ASSOCIATED OREGON LOGGERS INC FEDERAL PAC (AOL FED PAC),ASSOCIATED OREGON LOGGERS INC.,C00318816
INDEPENDENT HEALTH ASSOCIATION INC POLITICAL ALLIANCE,INDEPENDENT HEALTH ASSOCIATION INC,C00323758
AFFINITY FEDERAL CREDIT UNION POLITICAL ACTION COMMITTEE (AFFINITY PAC),AFFINITY FEDERAL CREDIT UNION,C00337113
UNISYS CORPORATION ASSOCIATES PAC,UNISYS CORPORATION,C00345603
BANK OF AMERICA CORPORATION FEDERAL PAC,BANK OF AMERICA CORPORATION,C00364778
CUMMINS INC. POLITICAL ACTION COMMITTEE (CIPAC),CUMMINS INC.,C00377952
"THE GEO GROUP, INC. POLITICAL ACTION COMMITTEE FEC # C00382150","THE GEO GROUP, INC.",C00382150
CALPORTLAND COMPANY POLITICAL ACTION COMMITTEE (CALPORTLAND PAC),CALPORTLAND COMPANY POLITICAL ACTION COMMITTEE (CALPORTLAND PAC),C00389429
"BRIGHTERGY, LLC ADVANCED ENERGY PAC","BRIGHTERGY, LLC",C00608323
"DICKIE, MCCAMEY & CHILCOTE, PC POLITICAL ACTION COMMITTEE","DICKIE, MCCAMEY & CHILCOTE, PC",C00169441
FARMERS ALLIANCE MUTUAL INSURANCE COMPANY FED-PAC,,C00404863
"M/I HOMES, INC. POLITICAL ACTION COMMITTEE","M/I HOMES, INC.",C00418830
ALLONE HEALTH RESOURCES INC PAC; ALLONE HEALTH PAC,ALLONE HEALTH RESOURCES INC,C00617126
CARDIOLOGY ADVOCACY ALLIANCE INC POLITICAL ACTION COMMITTEE (CAAPAC),CARDIOLOGY ADVOCACY ALLIANCE INC,C00421040
"AIRBUS GROUP, INC. PAC","AIRBUS GROUP, INC.",C00421230
"GIANT EAGLE, INC. PAC","GIANT EAGLE, INC.",C00426072
"UNISON MARKETPLACE, INC. ACQUISITION AND REFORM PAC","UNISON GLOBAL, INC.",C00448449
COMTECH TELECOMMUNICATIONS CORP. POLITICAL ACTION COMMITTEE,COMTECH TELECOMMUNICATIONS CORP.,C00478800
LUNDBECK LLC EMPLOYEE POLITICAL ACTION COMMITTEE,LUNDBECK LLC,C00491118
"INTALERE, INC. POLITICAL ACTION COMMITTEE","INTALERE, INC. POLITICAL ACTION COMMITTEE",C00491555
MERITAGE HOMES CORPORATION PAC,MERITAGE HOMES CORPORATION,C00494211
HEART DISEASE NETWORK OF AMERICA,CHILDRENS LEUKEMIA SUPPORT NETWORK LLC,C00667857
HIGHPOINT GLOBAL LLC CITIZEN EXPERIENCE FUND;  ACRONYM:  HIGHPOINT CITIZEN EXPERIENCE FUND,"HIGHPOINT GLOBAL, LLC",C00669119
MURRAY PLUMBING & HEATING CORPORATION PAC,MURRAY PLUMBING & HEATING CORPORATION,C00575878
HSBC NORTH AMERICA FEDERAL POLITICAL ACTION COMMITTEE (HSBC FEDERAL PAC),HSBC NORTH AMERICA,C00681437
ILLINOIS HOUSING AND COMMUNITY DEVELOPMENT PAC,,C00578443
"HARMONY BIOSCIENCES, LLC PAC","HARMONY BIOSCIENCES, LLC",C00683607
"GAI CONSULTANTS, INC. - POLITICAL ACTION COMMITTEE","GAI CONSULTANTS, INC.",C00685339
GLOBAL TECHNICAL SYSTEMS FEDERAL PAC,"GLOBAL TECHNICAL SYSTEMS, INC.",C00689943
DAIMLER NORTH AMERICA CORPORATION US EMPLOYEES PAC,DAIMLER NORTH AMERICA CORPORATION,C00611897
OCEANFIRST POLITICAL ACTION COMMITTEE,OCEAN FEDERAL SAVINGS BANK,C00304410
PROVIDENCE ANESTHESIOLOGY ASSOCIATES PA FED PAC,"PROVIDENCE ANESTHESIOLOGY ASSOCIATES, PA",C00664664
NEXTDECADE CORPORATION POLITICAL ACTION COMMITTEE,NEXTDECADE CORPORATION,C00721647
BETTER HOLDCO INC. PAC,BETTER HOLDCO INC.,C00722223
SONY MUSIC ENTERTAINMENT EMPLOYEE ACTION FUND,"SONY PICTURES ENTERTAINMENT, INC. PAC",C00680561
BRADFORD WHITE CORPORATION POLITICAL ACTION COMMITTEE ('BWC PAC'),BRADFORD WHITE CORPORATION,C00690099
PRIME AE GROUP FEDERAL PAC,PRIME AE GROUP,C00739532
"THE MANITOWOC COMPANY, INC. POLITICAL ACTION COMMITTEE","THE MANITOWOC COMPANY, INC.",C00757690
"SMILEDIRECTCLUB, INC. PAC (SMILE PAC)","SMILE DIRECT CLUB, INC.",C00758169
ELECTIONS MATTER - NEBRASKA,ELECTIONS MATTER - NEBRASKA,C00758300
"COMMUNITY CARE HEALTH NETWORK, LLC/MATRIX MEDICAL NETWORK POLITICAL ACTION COMMITTEE (MATRIX MEDICAL PAC)",CCHN GROUP HOLDINGS INC.,C00750349
VOTE EARLY 2020,"NAGUE.AI, INC.",C00758649
TRUGREEN PAC,TRUGREEN,C00761932
"FIRST AMENDMENT ADVOCATES, LLC  SUPER PAC","FIRST AMENDMENT ADVOCATES, LLC",C00763763
SHIELD AI POLITICAL ACTION COMMITTEE (SAIPAC),SHIELD AI,C00782532
TOM JAMES COMPANY POLITICAL ACTION COMMITTEE,TOM JAMES COMPANY,C00337972
TDS TELECOMMUNICATIONS CORPORATION PAC,TDS TELECOMMUNICATIONS CORPORATION,C00299750
PRUDENTIAL FINANCIAL INC. FEDERAL POLITICAL ACTION COMMITTEE (AKA - PRUDENTIAL FEDERAL PAC),"PRUDENTIAL FINANCIAL, INC.",C00127779
OMNOVA SOLUTIONS INC POLITICAL ACTION COMMITTEE (OPAC),,C00349993
MANAGEMENT AND TRAINING CORPORATION POLITICAL ACTION COMMITTEE,MANAGMENT & TRAINING CORPORATION,C00208322
MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC,MICROSOFT CORPORATION,C00227546
PPL CORPORATION PEOPLE FOR GOOD GOVERNMENT,LG&E - KU POLITICAL ACTION COMMITTEE,C00228106
BP CORPORATION NORTH AMERICA INC. POLITICAL ACTION COMMITTEE,BP CORPORATION NORTH AMERICA INC,C00060103
"RED ROCK RESORTS, INC. PAC","RED ROCK RESORTS, INC.",C00263731
"CARGILL, INCORPORATED POLITICAL ACTION COMMITTEE","CARGILL, INCORPORATED",C00067884
"ZIONS BANCORPORATION, N.A. DBA AMEGY BANK PAC","ZIONS BANCORPORATION, N.A",C00283069
LINDE INC. POLITICAL ACTION COMMITTEE,"LINCARE HOLDINGS, INC. EMPLOYEE ACTION FUND",C00283440
CAREFIRST BLUECROSS BLUESHIELD ASSOCIATES' FEDERAL PAC,CAREFIRST BLUE CROSS BLUESHIELD,C00286922
"ATTORNEYS' TITLE GUARANTY FUND, INC. FEDERAL POLITICAL ACTION COMMITTEE","ATTORNEYS' TITLE GUARANTY FUND, INC.",C00301424
NATIONAL GOOD GOVERNMENT FUND,NONE,C00032797
NATIONAL SEATING & MOBILITY INC POLITICAL ACTION COMMITTEE,NATIONAL SEATING & MOBILITY INC,C00613422
"CENTERPOINT ENERGY, INC. POLITICAL ACTION COMMITTEE","CENTERPOINT ENERGY, INC.",C00333534
FIRST COMMONWEALTH FINANCIAL CORPORATION PAC,,C00348185
ALBEMARLE CORPORATION POLITICAL ACTION COMMITTEE,ALBEMARLE CORPORATION,C00377333
"ZIMMER BIOMET HOLDINGS, INC. POLITICAL ACTION COMMITTEE (A.K.A. 'ZIMMER BIOMET PAC')","ZIMMER BIOMET HOLDINGS, INC.",C00399386
EMBLEMHEALTH SERVICES COMPANY LLC FEDERAL PAC (AKA EMBLEMHEALTH PAC),EMBLEMHEALTH SERVICES COMPANY LLC,C00412247
SOUTHERN GLAZER'S WINE AND SPIRITS PAC,SOUTHERN GLAZER'S WINE AND SPIRITS,C00217877
"ZILLOW GROUP, INC. POLITICAL ACTION COMMITTEE (ZG PAC)","ZILLOW GROUP, INC.",C00699439
AMERIPRISE FINANCIAL INC. POLITICAL ACTION COMMITTEE (AMERIPRISEPAC),AMERIPRISE FINANCIAL INC.,C00414474
LIBERTY TREE PAC INC,NONE,C00425751
DEUTSCHE BANK AMERICAS CORP. POLITICAL ACTION COMMITTEE,DEUTSCHE BANK AMERICAS CORP.,C00428896
MVP HEALTH CARE INC. FEDERAL PAC,MVP HEALTH CARE INC.,C00431429
"HILL-ROM HOLDINGS, INC. POLITICAL ACTION COMMITTEE (HRPAC)","HILL-ROM HOLDINGS, INC.",C00448993
DOW INC. PAC (DOWPAC),DOW INC.,C00074096
FIRST HAWAIIAN BANK CITIZENSHIP COMMITTEE,FIRST HAWAIIAN BANK CITIZENSHIP COMMITTEE,C00451781
DELTA AIR LINES PAC,MONROE ENERGY LLC FUELING THE CLIMB POLITICAL ACTION COMMITTEE,C00104802
HAWAIIAN AIRLINES INC POLITICAL ACTION COMMITTEE,"HAWAIIAN AIRLINES, INC.",C00456939
SMALLBIZPROS INC-PADGETT BUSINESS SERVICES PAC (OR) SBP INC-PADGETT BUSINESS SERVICES PAC,SMALLBIZPROS INC,C00460618
"WOOLPERT, INC. PAC","WOOLPERT, INC.",C00479899
"LEHIGH HANSON, INC. POLITICAL ACTION COMMITTEE","LEHIGH HANSON, INC.",C00493270
VSP HOLDING COMPANY INC POLITICAL ACTION COMMITTEE (VSP - PAC),"VSP HOLDING COMPANY, INC.",C00493502
OLD DOMINION FREIGHT LINE INC. POLITICAL ACTION COMMITTEE (OLD DOMINION PAC),"OLD DOMINION FREIGHT LINE, INC.",C00496836
CREATIVE ARTS PAC,NONE,C00502427
RENEWABLE ENERGY GROUP INC POLITICAL ACTION COMMITTEE (REG PAC),RENEWABLE ENERGY GROUP INC,C00536466
SELECTIVE INSURANCE COMPANY OF AMERICA POLITICAL ACTION COMMITTEE,SELECTIVE INSURANCE COMPANY OF AMERICA,C00550889
